# ANNOTATION_RELATION rows for the VALIDATED INHERITED cell type -> structure claims.
# NOT asserted by CL on the class: entailed from an is_a ancestor (VIA), then confirmed
# accurate AND restricted by claude-sonnet-5. A WEAKER claim than the asserted rows on
# prod -- give it its own SOURCE, do not merge it into 'CL'.
# Rows whose target is a whole-body anatomical system are excluded as tautologies.
# PREDICATE is the one the ANCESTOR actually asserts, looked up per row; NOT always 'part of'.
# script: scripts/validate_celltype_tissue_map.py  model: claude-sonnet-5
SUBJECT_VALUE	SUBJECT_VALUE_URI	PREDICATE	PREDICATE_URI	OBJECT_VALUE	OBJECT_VALUE_URI	VIA	N_DATASETS
cycling endothelial cell of lymphatic vessel	http://purl.obolibrary.org/obo/CL_4033079	part of	http://purl.obolibrary.org/obo/BFO_0000050	lymphatic vessel	http://purl.obolibrary.org/obo/UBERON_0001473	endothelial cell of lymphatic vessel	0
cycling pulmonary alveolar type 2 cell	http://purl.obolibrary.org/obo/CL_4033080	part of	http://purl.obolibrary.org/obo/BFO_0000050	pulmonary alveolus epithelium	http://purl.obolibrary.org/obo/UBERON_0004821	pulmonary alveolar epithelial cell	0
dark chief cell of parathyroid gland	http://purl.obolibrary.org/obo/CL_0002143	part of	http://purl.obolibrary.org/obo/BFO_0000050	parathyroid epithelium	http://purl.obolibrary.org/obo/UBERON_0011197	chief cell of parathyroid gland	0
deep zone articular chondrocyte	http://purl.obolibrary.org/obo/CL_0020039	part of	http://purl.obolibrary.org/obo/BFO_0000050	articular cartilage of joint	http://purl.obolibrary.org/obo/UBERON_0010996	articular chondrocyte	0
dentate gyrus kisspeptin neuron	http://purl.obolibrary.org/obo/CL_4023124	has soma location	http://purl.obolibrary.org/obo/RO_0002100	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus neuron	0
dentate gyrus of hippocampal formation basket cell	http://purl.obolibrary.org/obo/CL_2000087	has soma location	http://purl.obolibrary.org/obo/RO_0002100	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus neuron	0
dentate gyrus of hippocampal formation stellate cell	http://purl.obolibrary.org/obo/CL_2000090	has soma location	http://purl.obolibrary.org/obo/RO_0002100	dentate gyrus of hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0001885	dentate gyrus neuron	0
descending interneuron of myenteric plexus	http://purl.obolibrary.org/obo/CL_0020051	has soma location	http://purl.obolibrary.org/obo/RO_0002100	myenteric nerve plexus	http://purl.obolibrary.org/obo/UBERON_0002439	interneuron of myenteric plexus	0
deuterosomal cell	http://purl.obolibrary.org/obo/CL_4033044	part of	http://purl.obolibrary.org/obo/BFO_0000050	respiratory tract epithelium	http://purl.obolibrary.org/obo/UBERON_0004802	respiratory tract epithelial cell	0
diffuse bipolar 1 cell	http://purl.obolibrary.org/obo/CL_4033027	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 2 cell	http://purl.obolibrary.org/obo/CL_4033028	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 3a cell	http://purl.obolibrary.org/obo/CL_4033029	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 3b cell	http://purl.obolibrary.org/obo/CL_4033030	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 4 cell	http://purl.obolibrary.org/obo/CL_4033031	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 4a cell	http://purl.obolibrary.org/obo/CL_4033095	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 4b cell	http://purl.obolibrary.org/obo/CL_4033096	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 5 cell	http://purl.obolibrary.org/obo/CL_4033085	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
diffuse bipolar 6 cell	http://purl.obolibrary.org/obo/CL_4033032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
direct pathway medium spiny neuron	http://purl.obolibrary.org/obo/CL_4023026	has soma location	http://purl.obolibrary.org/obo/RO_0002100	corpus striatum	http://purl.obolibrary.org/obo/UBERON_0000369	medium spiny neuron	0
dorsal horn interneuron	http://purl.obolibrary.org/obo/CL_0011000	has soma location	http://purl.obolibrary.org/obo/RO_0002100	dorsal horn of spinal cord	http://purl.obolibrary.org/obo/UBERON_0002256	neuron of the dorsal spinal cord	0
dorso-striatal cholinergic-GABAergic neuron	http://purl.obolibrary.org/obo/CL_0020007	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
double-positive blast	http://purl.obolibrary.org/obo/CL_0002428	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
duodenal goblet cell	http://purl.obolibrary.org/obo/CL_1000324	part of	http://purl.obolibrary.org/obo/BFO_0000050	duodenal epithelium	http://purl.obolibrary.org/obo/UBERON_0008346	duodenum secretory cell	0
early luteal cell	http://purl.obolibrary.org/obo/CL_4052046	part of	http://purl.obolibrary.org/obo/BFO_0000050	corpus luteum	http://purl.obolibrary.org/obo/UBERON_0002512	luteal cell	0
embryonic skeletal muscle fiber	http://purl.obolibrary.org/obo/CL_0009097	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
endothelial cell of pericentral hepatic sinusoid	http://purl.obolibrary.org/obo/CL_0019022	part of	http://purl.obolibrary.org/obo/BFO_0000050	hepatic sinusoid	http://purl.obolibrary.org/obo/UBERON_0001281	endothelial cell of hepatic sinusoid	0
endothelial cell of periportal hepatic sinusoid	http://purl.obolibrary.org/obo/CL_0019021	part of	http://purl.obolibrary.org/obo/BFO_0000050	hepatic sinusoid	http://purl.obolibrary.org/obo/UBERON_0001281	endothelial cell of hepatic sinusoid	0
enterocyte	http://purl.obolibrary.org/obo/CL_0000584	part of	http://purl.obolibrary.org/obo/BFO_0000050	intestinal epithelium	http://purl.obolibrary.org/obo/UBERON_0001277	gut absorptive cell	0
enterocyte of appendix	http://purl.obolibrary.org/obo/CL_0009026	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of appendix	http://purl.obolibrary.org/obo/UBERON_0009697	epithelial cell of appendix	0
enterocyte of epithelium of large intestine	http://purl.obolibrary.org/obo/CL_0002071	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of large intestine	http://purl.obolibrary.org/obo/UBERON_0001278	epithelial cell of large intestine	0
enterocyte of epithelium proper of large intestine	http://purl.obolibrary.org/obo/CL_1000346	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of large intestine	http://purl.obolibrary.org/obo/UBERON_0001278	epithelial cell of large intestine	0
enterocyte of epithelium proper of small intestine	http://purl.obolibrary.org/obo/CL_1000339	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of small intestine	http://purl.obolibrary.org/obo/UBERON_0001902	enterocyte of epithelium of small intestine	0
ependymal cell (Mmus)	http://purl.obolibrary.org/obo/CL_4300363	part of	http://purl.obolibrary.org/obo/BFO_0000050	ependyma	http://purl.obolibrary.org/obo/UBERON_0004670	ependymal cell	0
epithelial cell of stratum corneum of esophageal epithelium	http://purl.obolibrary.org/obo/CL_0002654	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of esophagus	http://purl.obolibrary.org/obo/UBERON_0001976	epithelial cell of esophagus	0
epithelial cell of stratum spinosum of esophageal epithelium	http://purl.obolibrary.org/obo/CL_0002655	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of esophagus	http://purl.obolibrary.org/obo/UBERON_0001976	epithelial cell of esophagus	0
equatorial cone cell (sensu Endopterygota)	http://purl.obolibrary.org/obo/CL_0000721	part of	http://purl.obolibrary.org/obo/BFO_0000050	ommatidium	http://purl.obolibrary.org/obo/UBERON_0000971	compound eye cone cell	0
extrafusal muscle fiber	http://purl.obolibrary.org/obo/CL_0008046	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
extratelencephalic-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023009	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
fetal and neonatal skeletal muscle fiber	http://purl.obolibrary.org/obo/CL_0009098	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
fetal artery endothelial cell	http://purl.obolibrary.org/obo/CL_4047006	part of	http://purl.obolibrary.org/obo/BFO_0000050	endothelium of artery	http://purl.obolibrary.org/obo/UBERON_0001917	endothelial cell of artery	0
fetal pre-type II pulmonary alveolar epithelial cell	http://purl.obolibrary.org/obo/CL_4040003	part of	http://purl.obolibrary.org/obo/BFO_0000050	pulmonary alveolus epithelium	http://purl.obolibrary.org/obo/UBERON_0004821	pulmonary alveolar epithelial cell	0
fetal thymocyte	http://purl.obolibrary.org/obo/CL_0002404	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
flat midget bipolar cell	http://purl.obolibrary.org/obo/CL_4033033	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
foveolar cell of stomach	http://purl.obolibrary.org/obo/CL_0002179	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of stomach	http://purl.obolibrary.org/obo/UBERON_0001276	epithelial cell of stomach	0
gamma-delta thymocyte	http://purl.obolibrary.org/obo/CL_0002405	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
gastric goblet cell	http://purl.obolibrary.org/obo/CL_1000313	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of stomach	http://purl.obolibrary.org/obo/UBERON_0001276	epithelial cell of stomach	0
giant bipolar cell	http://purl.obolibrary.org/obo/CL_4033035	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
glandular endometrial multiciliated epithelial cell	http://purl.obolibrary.org/obo/CL_4030042	part of	http://purl.obolibrary.org/obo/BFO_0000050	endometrium glandular epithelium	http://purl.obolibrary.org/obo/UBERON_0012276	glandular epithelial cell of endometrium	0
globular bushy cell	http://purl.obolibrary.org/obo/CL_4023164	has soma location	http://purl.obolibrary.org/obo/RO_0002100	anteroventral cochlear nucleus	http://purl.obolibrary.org/obo/UBERON_0002830	bushy cell	0
hair follicle melanocyte	http://purl.obolibrary.org/obo/CL_0002483	part of	http://purl.obolibrary.org/obo/BFO_0000050	hair follicle	http://purl.obolibrary.org/obo/UBERON_0002073	hair follicle cell	0
hippocampal granule cell	http://purl.obolibrary.org/obo/CL_0001033	has soma location	http://purl.obolibrary.org/obo/RO_0002100	hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal neuron	0
hippocampal interneuron	http://purl.obolibrary.org/obo/CL_1001569	has soma location	http://purl.obolibrary.org/obo/RO_0002100	hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal neuron	0
immature Schwann cell	http://purl.obolibrary.org/obo/CL_0002377	part of	http://purl.obolibrary.org/obo/BFO_0000050	peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	Schwann cell	0
immature Vgamma1.1-positive, Vdelta6.3-negative thymocyte	http://purl.obolibrary.org/obo/CL_0002414	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature Vgamma1.1-positive, Vdelta6.3-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002415	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature Vgamma2-negative thymocyte	http://purl.obolibrary.org/obo/CL_0002408	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature Vgamma2-positive fetal thymocyte	http://purl.obolibrary.org/obo/CL_0002378	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature Vgamma2-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002406	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature dendritic epithelial T cell precursor	http://purl.obolibrary.org/obo/CL_0002218	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
immature neuron	http://purl.obolibrary.org/obo/CL_4042028	has soma location	http://purl.obolibrary.org/obo/RO_0002100	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	central nervous system neuron	0
inactive chief cell of parathyoid gland	http://purl.obolibrary.org/obo/CL_0002197	part of	http://purl.obolibrary.org/obo/BFO_0000050	parathyroid epithelium	http://purl.obolibrary.org/obo/UBERON_0011197	chief cell of parathyroid gland	0
intermediate cell of urothelium	http://purl.obolibrary.org/obo/CL_4030055	part of	http://purl.obolibrary.org/obo/BFO_0000050	urothelium	http://purl.obolibrary.org/obo/UBERON_0000365	urothelial cell	0
intermediate epitheliocyte	http://purl.obolibrary.org/obo/CL_0002209	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	0
intermediate muscle cell	http://purl.obolibrary.org/obo/CL_0002216	part of	http://purl.obolibrary.org/obo/BFO_0000050	skeletal muscle tissue	http://purl.obolibrary.org/obo/UBERON_0001134	cell of skeletal muscle	0
intestine goblet cell	http://purl.obolibrary.org/obo/CL_0019031	part of	http://purl.obolibrary.org/obo/BFO_0000050	intestinal epithelium	http://purl.obolibrary.org/obo/UBERON_0001277	intestinal epithelial cell	0
intratelencephalic-projecting glutamatergic cortical neuron	http://purl.obolibrary.org/obo/CL_4023008	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
intrinsically photosensitive retinal ganglion cell	http://purl.obolibrary.org/obo/CL_0020014	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
invaginating midget bipolar cell	http://purl.obolibrary.org/obo/CL_4033034	has soma location	http://purl.obolibrary.org/obo/RO_0002100	inner nuclear layer of retina	http://purl.obolibrary.org/obo/UBERON_0001791	retinal bipolar neuron	0
lamp5 GABAergic interneuron (Homo sapiens)	http://purl.obolibrary.org/obo/CL_4072034	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
large basket cell	http://purl.obolibrary.org/obo/CL_4023088	has soma location	http://purl.obolibrary.org/obo/RO_0002100	neocortex	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex basket cell	0
large intestine goblet cell	http://purl.obolibrary.org/obo/CL_1000320	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of large intestine	http://purl.obolibrary.org/obo/UBERON_0001278	epithelial cell of large intestine	0
large luteal cell	http://purl.obolibrary.org/obo/CL_0000592	part of	http://purl.obolibrary.org/obo/BFO_0000050	corpus luteum	http://purl.obolibrary.org/obo/UBERON_0002512	luteal cell	0
late luteal cell	http://purl.obolibrary.org/obo/CL_4052047	part of	http://purl.obolibrary.org/obo/BFO_0000050	corpus luteum	http://purl.obolibrary.org/obo/UBERON_0002512	luteal cell	0
light chief cell of parathyroid gland	http://purl.obolibrary.org/obo/CL_0002229	part of	http://purl.obolibrary.org/obo/BFO_0000050	parathyroid epithelium	http://purl.obolibrary.org/obo/UBERON_0011197	chief cell of parathyroid gland	0
long-range projecting sst GABAergic cortical interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023025	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
luminal cell of prostatic acinus	http://purl.obolibrary.org/obo/CL_0002235	part of	http://purl.obolibrary.org/obo/BFO_0000050	prostate glandular acinus	http://purl.obolibrary.org/obo/UBERON_0004179	epithelial cell of prostatic acinus	0
luminal endometrial multiciliated epithelial cell	http://purl.obolibrary.org/obo/CL_4030041	part of	http://purl.obolibrary.org/obo/BFO_0000050	endometrium luminal epithelium	http://purl.obolibrary.org/obo/UBERON_0011949	luminal epithelial cell of endometrium	0
luminal endometrial unciliated epithelial cell	http://purl.obolibrary.org/obo/CL_4052023	part of	http://purl.obolibrary.org/obo/BFO_0000050	endometrium luminal epithelium	http://purl.obolibrary.org/obo/UBERON_0011949	luminal epithelial cell of endometrium	0
lung goblet cell	http://purl.obolibrary.org/obo/CL_1000143	part of	http://purl.obolibrary.org/obo/BFO_0000050	lung epithelium	http://purl.obolibrary.org/obo/UBERON_0000115	epithelial cell of lung	0
lung multiciliated epithelial cell	http://purl.obolibrary.org/obo/CL_1000271	part of	http://purl.obolibrary.org/obo/BFO_0000050	lung epithelium	http://purl.obolibrary.org/obo/UBERON_0000115	epithelial cell of lung	0
mammosomatotroph	http://purl.obolibrary.org/obo/CL_0002310	part of	http://purl.obolibrary.org/obo/BFO_0000050	pars distalis of adenohypophysis	http://purl.obolibrary.org/obo/UBERON_0006964	acidophil cell of pars distalis of adenohypophysis	0
mammotroph	http://purl.obolibrary.org/obo/CL_0002311	part of	http://purl.obolibrary.org/obo/BFO_0000050	pars distalis of adenohypophysis	http://purl.obolibrary.org/obo/UBERON_0006964	acidophil cell of pars distalis of adenohypophysis	0
matrix D1 medium spiny neuron	http://purl.obolibrary.org/obo/CL_4030043	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
matrix D2 medium spiny neuron	http://purl.obolibrary.org/obo/CL_4030047	has soma location	http://purl.obolibrary.org/obo/RO_0002100	striatum	http://purl.obolibrary.org/obo/UBERON_0002435	striatum neuron	0
mature Vgamma1.1-positive, Vdelta6.3-negative thymocyte	http://purl.obolibrary.org/obo/CL_0002413	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature Vgamma1.1-positive, Vdelta6.3-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002416	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature Vgamma2-negative thymocyte	http://purl.obolibrary.org/obo/CL_0002409	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature Vgamma2-positive fetal thymocyte	http://purl.obolibrary.org/obo/CL_0002403	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature Vgamma2-positive thymocyte	http://purl.obolibrary.org/obo/CL_0002407	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature dendritic epithelial T cell precursor	http://purl.obolibrary.org/obo/CL_0002401	part of	http://purl.obolibrary.org/obo/BFO_0000050	thymus	http://purl.obolibrary.org/obo/UBERON_0002370	thymocyte	0
mature myelinating oligodendrocyte	http://purl.obolibrary.org/obo/CL_4072003	part of	http://purl.obolibrary.org/obo/BFO_0000050	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	oligodendrocyte	0
meis2 expressing cortical GABAergic cell	http://purl.obolibrary.org/obo/CL_4023065	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
middle primary motoneuron	http://purl.obolibrary.org/obo/CL_4042041	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	0
midget ganglion cell of retina	http://purl.obolibrary.org/obo/CL_4023188	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
mucous cell of stomach	http://purl.obolibrary.org/obo/CL_0002180	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of stomach	http://purl.obolibrary.org/obo/UBERON_0001276	epithelial cell of stomach	0
multiciliated columnar cell of tracheobronchial tree	http://purl.obolibrary.org/obo/CL_0002145	part of	http://purl.obolibrary.org/obo/BFO_0000050	tracheobronchial epithelium	http://purl.obolibrary.org/obo/UBERON_0008397	epithelial cell of tracheobronchial tree	0
multiciliated ependymal cell	http://purl.obolibrary.org/obo/CL_4052001	part of	http://purl.obolibrary.org/obo/BFO_0000050	ependyma	http://purl.obolibrary.org/obo/UBERON_0004670	ependymal cell	0
multiciliated epithelial cell of the bronchus	http://purl.obolibrary.org/obo/CL_0002332	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of bronchus	http://purl.obolibrary.org/obo/UBERON_0002031	bronchial epithelial cell	0
myelin-forming oligodendrocyte	http://purl.obolibrary.org/obo/CL_4072002	part of	http://purl.obolibrary.org/obo/BFO_0000050	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	oligodendrocyte	0
myocyte of atrial branch of anterior internodal tract	http://purl.obolibrary.org/obo/CL_1000288	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
myocyte of atrial septal branch of anterior internodal tract	http://purl.obolibrary.org/obo/CL_1000289	part of	http://purl.obolibrary.org/obo/BFO_0000050	internodal tract	http://purl.obolibrary.org/obo/UBERON_0009966	internodal tract myocyte	0
myoepithelial cell of sweat gland	http://purl.obolibrary.org/obo/CL_1000417	part of	http://purl.obolibrary.org/obo/BFO_0000050	sweat gland	http://purl.obolibrary.org/obo/UBERON_0001820	epithelial cell of sweat gland	0
nest basket cell	http://purl.obolibrary.org/obo/CL_4023089	has soma location	http://purl.obolibrary.org/obo/RO_0002100	neocortex	http://purl.obolibrary.org/obo/UBERON_0001950	neocortex basket cell	0
neurogliaform lamp5 GABAergic cortical interneuron (Mmus)	http://purl.obolibrary.org/obo/CL_4023024	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
nonkeratinized cell of stratum corneum of esophageal epithelium	http://purl.obolibrary.org/obo/CL_0002643	part of	http://purl.obolibrary.org/obo/BFO_0000050	epithelium of esophagus	http://purl.obolibrary.org/obo/UBERON_0001976	epithelial cell of esophagus	0
notochordal sheath cell	http://purl.obolibrary.org/obo/CL_0007007	part of	http://purl.obolibrary.org/obo/BFO_0000050	notochord	http://purl.obolibrary.org/obo/UBERON_0002328	notochordal cell	0
notochordal vacuole cell	http://purl.obolibrary.org/obo/CL_0007008	part of	http://purl.obolibrary.org/obo/BFO_0000050	notochord	http://purl.obolibrary.org/obo/UBERON_0002328	notochordal cell	0
oRGC1	http://purl.obolibrary.org/obo/CL_0020036	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
oRGC2	http://purl.obolibrary.org/obo/CL_0020032	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
oRGC4	http://purl.obolibrary.org/obo/CL_0020041	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
oRGC5	http://purl.obolibrary.org/obo/CL_0020042	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
olfactory epithelial supporting cell	http://purl.obolibrary.org/obo/CL_0000853	part of	http://purl.obolibrary.org/obo/BFO_0000050	olfactory epithelium	http://purl.obolibrary.org/obo/UBERON_0001997	olfactory epithelial cell	0
oligodendrocyte (Mmus)	http://purl.obolibrary.org/obo/CL_4300367	part of	http://purl.obolibrary.org/obo/BFO_0000050	central nervous system	http://purl.obolibrary.org/obo/UBERON_0001017	oligodendrocyte	0
oxytocin receptor sst GABAergic cortical interneuron	http://purl.obolibrary.org/obo/CL_4023122	has soma location	http://purl.obolibrary.org/obo/RO_0002100	cerebral cortex	http://purl.obolibrary.org/obo/UBERON_0000956	cerebral cortex neuron	0
parasol ganglion cell of retina	http://purl.obolibrary.org/obo/CL_4023189	has soma location	http://purl.obolibrary.org/obo/RO_0002100	retina	http://purl.obolibrary.org/obo/UBERON_0000966	retinal ganglion cell	0
parvalbumin-positive basket cell	http://purl.obolibrary.org/obo/CL_0020071	has soma location	http://purl.obolibrary.org/obo/RO_0002100	hippocampal formation	http://purl.obolibrary.org/obo/UBERON_0002421	hippocampal neuron	0
peripheral sensory neuron	http://purl.obolibrary.org/obo/CL_3000004	has soma location	http://purl.obolibrary.org/obo/RO_0002100	peripheral nervous system	http://purl.obolibrary.org/obo/UBERON_0000010	peripheral nervous system neuron	0
pial interlaminar astrocyte	http://purl.obolibrary.org/obo/CL_4042010	part of	http://purl.obolibrary.org/obo/BFO_0000050	neocortex	http://purl.obolibrary.org/obo/UBERON_0001950	interlaminar astrocyte	0
pole cell	http://purl.obolibrary.org/obo/CL_0000301	part of	http://purl.obolibrary.org/obo/BFO_0000050	embryo	http://purl.obolibrary.org/obo/UBERON_0000922	primordial germ cell	0
posterior cone cell (sensu Endopterygota)	http://purl.obolibrary.org/obo/CL_0000719	part of	http://purl.obolibrary.org/obo/BFO_0000050	ommatidium	http://purl.obolibrary.org/obo/UBERON_0000971	compound eye cone cell	0
primary motor neuron (sensu Teleostei)	http://purl.obolibrary.org/obo/CL_0000533	has soma location	http://purl.obolibrary.org/obo/RO_0002100	spinal cord	http://purl.obolibrary.org/obo/UBERON_0002240	spinal cord motor neuron	0
proliferative fibrochondrocyte	http://purl.obolibrary.org/obo/CL_0020018	part of	http://purl.obolibrary.org/obo/BFO_0000050	fibrocartilage	http://purl.obolibrary.org/obo/UBERON_0001995	fibrochondrocyte	0
pulmonary ionocyte	http://purl.obolibrary.org/obo/CL_0017000	part of	http://purl.obolibrary.org/obo/BFO_0000050	lung epithelium	http://purl.obolibrary.org/obo/UBERON_0000115	epithelial cell of lung	0
